,NM_REGION,Date,QT_VOLUME_24HOUR,AM_PEAK_VOLUME,PM_PEAK_VOLUME,Location,MaxTemp,Rainfall,WindGustSpeed,Humidity9am,Humidity3pm,Region,Lat,Long
0,BBN,01/07/2016,5340051,525987.0,938286.0,Melbourne,14.1,6.4,28,89,61,Blackburn,-37.8197,145.1531
1,BBN,01/07/2016,5340051,525987.0,938286.0,Melbourne,14.1,6.4,28,89,61,Blackburn,-37.8197,145.1531
2,BBN,02/07/2016,4552161,218166.0,757100.0,Melbourne,16.5,0.2,28,77,58,Blackburn,-37.8197,145.1531
3,BBN,02/07/2016,4552161,218166.0,757100.0,Melbourne,16.5,0.2,28,77,58,Blackburn,-37.8197,145.1531
4,BBN,03/07/2016,3952714,130511.0,709845.0,Melbourne,16.7,0,41,76,57,Blackburn,-37.8197,145.1531
5,BBN,03/07/2016,3952714,130511.0,709845.0,Melbourne,16.7,0,41,76,57,Blackburn,-37.8197,145.1531
6,BBN,04/07/2016,5138450,584527.0,917844.0,Melbourne,12.7,0,31,69,64,Blackburn,-37.8197,145.1531
7,BBN,04/07/2016,5138450,584527.0,917844.0,Melbourne,12.7,0,31,69,64,Blackburn,-37.8197,145.1531
8,BBN,05/07/2016,5148262,556123.0,902028.0,Melbourne,12.8,0.6,28,87,91,Blackburn,-37.8197,145.1531
9,BBN,05/07/2016,5148262,556123.0,902028.0,Melbourne,12.8,0.6,28,87,91,Blackburn,-37.8197,145.1531
10,BBN,06/07/2016,5351973,585840.0,929040.0,Melbourne,13,22.6,37,87,84,Blackburn,-37.8197,145.1531
11,BBN,06/07/2016,5351973,585840.0,929040.0,Melbourne,13,22.6,37,87,84,Blackburn,-37.8197,145.1531
12,BBN,07/07/2016,5471302,583137.0,947192.0,Melbourne,13.7,3.8,31,97,80,Blackburn,-37.8197,145.1531
13,BBN,07/07/2016,5471302,583137.0,947192.0,Melbourne,13.7,3.8,31,97,80,Blackburn,-37.8197,145.1531
14,BBN,08/07/2016,5492210,558089.0,937685.0,Melbourne,15.3,0.8,20,90,65,Blackburn,-37.8197,145.1531
15,BBN,08/07/2016,5492210,558089.0,937685.0,Melbourne,15.3,0.8,20,90,65,Blackburn,-37.8197,145.1531
16,BBN,09/07/2016,4707758,213671.0,788613.0,Melbourne,15.2,0.2,13,100,60,Blackburn,-37.8197,145.1531
17,BBN,09/07/2016,4707758,213671.0,788613.0,Melbourne,15.2,0.2,13,100,60,Blackburn,-37.8197,145.1531
18,BBN,10/07/2016,3987547,127634.0,697647.0,Melbourne,14.2,0,59,97,80,Blackburn,-37.8197,145.1531
19,BBN,10/07/2016,3987547,127634.0,697647.0,Melbourne,14.2,0,59,97,80,Blackburn,-37.8197,145.1531
20,BBN,11/07/2016,5091506,561825.0,920484.0,Melbourne,16,3.6,59,67,57,Blackburn,-37.8197,145.1531
21,BBN,11/07/2016,5091506,561825.0,920484.0,Melbourne,16,3.6,59,67,57,Blackburn,-37.8197,145.1531
22,BBN,12/07/2016,5241151,609502.0,925622.0,Melbourne,13.7,0,63,58,51,Blackburn,-37.8197,145.1531
23,BBN,12/07/2016,5241151,609502.0,925622.0,Melbourne,13.7,0,63,58,51,Blackburn,-37.8197,145.1531
24,BBN,13/07/2016,5371500,597001.0,943855.0,Melbourne,12,0.4,43,67,55,Blackburn,-37.8197,145.1531
25,BBN,13/07/2016,5371500,597001.0,943855.0,Melbourne,12,0.4,43,67,55,Blackburn,-37.8197,145.1531
26,BBN,14/07/2016,5516406,608096.0,966156.0,Melbourne,14,1,43,68,52,Blackburn,-37.8197,145.1531
27,BBN,14/07/2016,5516406,608096.0,966156.0,Melbourne,14,1,43,68,52,Blackburn,-37.8197,145.1531
