NM_REGION,Date,QT_VOLUME_24HOUR,AM_PEAK_VOLUME,PM_PEAK_VOLUME,Location,MaxTemp,Rainfall,WindGustSpeed,Humidity9am,Humidity3pm,Region,Lat,Long
BBN,1/07/2016,5340051,525987,938286,Melbourne,14.1,6.4,28,89,61,Blackburn,-37.8197,145.1531
BBN,2/07/2016,4552161,218166,757100,Melbourne,16.5,0.2,28,77,58,Blackburn,-37.8197,145.1531
BBN,3/07/2016,3952714,130511,709845,Melbourne,16.7,0,41,76,57,Blackburn,-37.8197,145.1531
BBN,4/07/2016,5138450,584527,917844,Melbourne,12.7,0,31,69,64,Blackburn,-37.8197,145.1531
BBN,5/07/2016,5148262,556123,902028,Melbourne,12.8,0.6,28,87,91,Blackburn,-37.8197,145.1531
BBN,6/07/2016,5351973,585840,929040,Melbourne,13,22.6,37,87,84,Blackburn,-37.8197,145.1531
BBN,7/07/2016,5471302,583137,947192,Melbourne,13.7,3.8,31,97,80,Blackburn,-37.8197,145.1531
BBN,8/07/2016,5492210,558089,937685,Melbourne,15.3,0.8,20,90,65,Blackburn,-37.8197,145.1531
BBN,9/07/2016,4707758,213671,788613,Melbourne,15.2,0.2,13,100,60,Blackburn,-37.8197,145.1531
BBN,10/07/2016,3987547,127634,697647,Melbourne,14.2,0,59,97,80,Blackburn,-37.8197,145.1531
BBN,11/07/2016,5091506,561825,920484,Melbourne,16,3.6,59,67,57,Blackburn,-37.8197,145.1531
BBN,12/07/2016,5241151,609502,925622,Melbourne,13.7,0,63,58,51,Blackburn,-37.8197,145.1531
BBN,13/07/2016,5371500,597001,943855,Melbourne,12,0.4,43,67,55,Blackburn,-37.8197,145.1531
BBN,14/07/2016,5516406,608096,966156,Melbourne,14,1,43,68,52,Blackburn,-37.8197,145.1531
BBN,15/07/2016,5631620,585121,969935,Melbourne,14.1,0,20,64,63,Blackburn,-37.8197,145.1531
BBN,16/07/2016,4840206,219441,782015,Melbourne,13.7,0,17,70,57,Blackburn,-37.8197,145.1531
BBN,17/07/2016,4117443,134513,732376,Melbourne,16.1,0,56,77,45,Blackburn,-37.8197,145.1531
BBN,18/07/2016,5193843,599076,937969,Melbourne,17.7,0,52,75,68,Blackburn,-37.8197,145.1531
BBN,19/07/2016,5400788,616659,954689,Melbourne,16,0,20,79,68,Blackburn,-37.8197,145.1531
BBN,20/07/2016,5420079,604194,961661,Melbourne,16.1,1.8,17,97,76,Blackburn,-37.8197,145.1531
BBN,21/07/2016,5543046,606856,971645,Melbourne,18.1,1.8,50,100,65,Blackburn,-37.8197,145.1531
BBN,22/07/2016,5546719,572439,944003,Melbourne,18.3,7.8,59,76,73,Blackburn,-37.8197,145.1531
BBN,23/07/2016,4834774,209333,788014,Melbourne,11.6,2.8,44,59,65,Blackburn,-37.8197,145.1531
BBN,24/07/2016,4066080,125055,711096,Melbourne,11.4,0.8,48,76,64,Blackburn,-37.8197,145.1531
BBN,25/07/2016,5117159,578144,932556,Melbourne,14.3,0,59,72,51,Blackburn,-37.8197,145.1531
BBN,26/07/2016,5351696,614926,957175,Melbourne,11,4.8,46,68,60,Blackburn,-37.8197,145.1531
BBN,27/07/2016,5399970,612153,960838,Melbourne,12.9,0.4,37,92,50,Blackburn,-37.8197,145.1531
BBN,28/07/2016,5581310,616412,983640,Melbourne,15.2,0,37,73,52,Blackburn,-37.8197,145.1531
BBN,29/07/2016,5670270,597075,952262,Melbourne,15.3,0,31,76,67,Blackburn,-37.8197,145.1531
BBN,30/07/2016,4899531,219375,792846,Melbourne,13.8,2.4,59,85,74,Blackburn,-37.8197,145.1531
BBN,31/07/2016,4198307,129997,739075,Melbourne,17,2,52,86,39,Blackburn,-37.8197,145.1531
BRI,1/07/2016,2917372,278875,500749,Melbourne,14.1,6.4,28,89,61,Brighton,-37.9043,144.9932
BRI,2/07/2016,2444386,118911,385502,Melbourne,16.5,0.2,28,77,58,Brighton,-37.9043,144.9932
BRI,3/07/2016,2071074,72531,363562,Melbourne,16.7,0,41,76,57,Brighton,-37.9043,144.9932
BRI,4/07/2016,2682373,286045,479161,Melbourne,12.7,0,31,69,64,Brighton,-37.9043,144.9932
BRI,5/07/2016,2751721,282298,492252,Melbourne,12.8,0.6,28,87,91,Brighton,-37.9043,144.9932
BRI,6/07/2016,2875050,290156,504126,Melbourne,13,22.6,37,87,84,Brighton,-37.9043,144.9932
BRI,7/07/2016,2942445,292667,514791,Melbourne,13.7,3.8,31,97,80,Brighton,-37.9043,144.9932
BRI,8/07/2016,2950327,280423,508165,Melbourne,15.3,0.8,20,90,65,Brighton,-37.9043,144.9932
BRI,9/07/2016,2542978,117917,409400,Melbourne,15.2,0.2,13,100,60,Brighton,-37.9043,144.9932
BRI,10/07/2016,2146985,77221,367636,Melbourne,14.2,0,59,97,80,Brighton,-37.9043,144.9932
BRI,11/07/2016,2887355,307703,520213,Melbourne,16,3.6,59,67,57,Brighton,-37.9043,144.9932
BRI,12/07/2016,2992674,335208,531552,Melbourne,13.7,0,63,58,51,Brighton,-37.9043,144.9932
BRI,13/07/2016,3083289,329066,535654,Melbourne,12,0.4,43,67,55,Brighton,-37.9043,144.9932
BRI,14/07/2016,3169624,333988,553517,Melbourne,14,1,43,68,52,Brighton,-37.9043,144.9932
BRI,15/07/2016,3167471,323755,543549,Melbourne,14.1,0,20,64,63,Brighton,-37.9043,144.9932
BRI,16/07/2016,2731898,132718,427937,Melbourne,13.7,0,17,70,57,Brighton,-37.9043,144.9932
BRI,17/07/2016,2380307,86653,415770,Melbourne,16.1,0,56,77,45,Brighton,-37.9043,144.9932
BRI,18/07/2016,2969802,328224,530502,Melbourne,17.7,0,52,75,68,Brighton,-37.9043,144.9932
BRI,19/07/2016,3074193,337637,544126,Melbourne,16,0,20,79,68,Brighton,-37.9043,144.9932
BRI,20/07/2016,3107176,331138,546004,Melbourne,16.1,1.8,17,97,76,Brighton,-37.9043,144.9932
BRI,21/07/2016,3159424,331248,559132,Melbourne,18.1,1.8,50,100,65,Brighton,-37.9043,144.9932
BRI,22/07/2016,3162631,316411,543485,Melbourne,18.3,7.8,59,76,73,Brighton,-37.9043,144.9932
BRI,23/07/2016,2747248,130450,423386,Melbourne,11.6,2.8,44,59,65,Brighton,-37.9043,144.9932
BRI,24/07/2016,2308446,81939,390189,Melbourne,11.4,0.8,48,76,64,Brighton,-37.9043,144.9932
BRI,25/07/2016,2944246,326093,536317,Melbourne,14.3,0,59,72,51,Brighton,-37.9043,144.9932
BRI,26/07/2016,3070006,339317,551248,Melbourne,11,4.8,46,68,60,Brighton,-37.9043,144.9932
BRI,27/07/2016,3156274,338843,559200,Melbourne,12.9,0.4,37,92,50,Brighton,-37.9043,144.9932
BRI,28/07/2016,3204092,341011,563308,Melbourne,15.2,0,37,73,52,Brighton,-37.9043,144.9932
BRI,29/07/2016,3203495,326440,549166,Melbourne,15.3,0,31,76,67,Brighton,-37.9043,144.9932
BRI,30/07/2016,2768351,130272,427655,Melbourne,13.8,2.4,59,85,74,Brighton,-37.9043,144.9932
BRI,31/07/2016,2416698,81312,427141,Melbourne,17,2,52,86,39,Brighton,-37.9043,144.9932
CA1,1/07/2016,4079586,424647,602070,Melbourne,14.1,6.4,28,89,61,Carlton,-37.8001,144.9671
CA1,2/07/2016,3615872,204023,502021,Melbourne,16.5,0.2,28,77,58,Carlton,-37.8001,144.9671
CA1,3/07/2016,3256618,146196,489745,Melbourne,16.7,0,41,76,57,Carlton,-37.8001,144.9671
CA1,4/07/2016,3599194,409256,564941,Melbourne,12.7,0,31,69,64,Carlton,-37.8001,144.9671
CA1,5/07/2016,3694112,410298,569957,Melbourne,12.8,0.6,28,87,91,Carlton,-37.8001,144.9671
CA1,6/07/2016,3672194,396913,560169,Melbourne,13,22.6,37,87,84,Carlton,-37.8001,144.9671
CA1,7/07/2016,3723192,398588,558798,Melbourne,13.7,3.8,31,97,80,Carlton,-37.8001,144.9671
CA1,8/07/2016,3911203,398195,580926,Melbourne,15.3,0.8,20,90,65,Carlton,-37.8001,144.9671
CA1,9/07/2016,3705652,204373,513200,Melbourne,15.2,0.2,13,100,60,Carlton,-37.8001,144.9671
CA1,10/07/2016,3192377,136342,486034,Melbourne,14.2,0,59,97,80,Carlton,-37.8001,144.9671
CA1,11/07/2016,3642879,411482,575029,Melbourne,16,3.6,59,67,57,Carlton,-37.8001,144.9671
CA1,12/07/2016,3855572,454078,597861,Melbourne,13.7,0,63,58,51,Carlton,-37.8001,144.9671
CA1,13/07/2016,3968668,455104,601094,Melbourne,12,0.4,43,67,55,Carlton,-37.8001,144.9671
CA1,14/07/2016,4058858,459744,610432,Melbourne,14,1,43,68,52,Carlton,-37.8001,144.9671
CA1,15/07/2016,4177887,451634,609900,Melbourne,14.1,0,20,64,63,Carlton,-37.8001,144.9671
CA1,16/07/2016,3873775,210563,537180,Melbourne,13.7,0,17,70,57,Carlton,-37.8001,144.9671
CA1,17/07/2016,3409783,159399,523389,Melbourne,16.1,0,56,77,45,Carlton,-37.8001,144.9671
CA1,18/07/2016,3739591,440755,591923,Melbourne,17.7,0,52,75,68,Carlton,-37.8001,144.9671
CA1,19/07/2016,3852246,455268,551226,Melbourne,16,0,20,79,68,Carlton,-37.8001,144.9671
CA1,20/07/2016,3943455,455163,595933,Melbourne,16.1,1.8,17,97,76,Carlton,-37.8001,144.9671
CA1,21/07/2016,4010693,445717,599446,Melbourne,18.1,1.8,50,100,65,Carlton,-37.8001,144.9671
