,id,route,direction,segment,volume,vcr,vcr_cat,geometry
0,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.1,,,,5000,0.7,Medium,"MULTILINESTRING ((138.582751 -34.941576, 138.582918 -34.942599, 138.583058 -34.943405))"
1,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.2,,,,2000,0.3,Low,"MULTILINESTRING ((138.583058 -34.943405, 138.582918 -34.942599, 138.582751 -34.941576))"
2,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.3,,,,2000,0.5,Low,"MULTILINESTRING ((138.536645 -34.876212, 138.536411 -34.876, 138.536005 -34.875667, 138.535812 -34.875528, 138.535331 -34.875167, 138.531053 -34.871889, 138.52974 -34.870825, 138.529348 -34.870484))"
3,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.4,,,,1000,0.1,Low,"MULTILINESTRING ((138.529348 -34.870484, 138.52974 -34.870825, 138.531053 -34.871889, 138.535331 -34.875167, 138.535812 -34.875528, 138.536005 -34.875667, 138.536411 -34.876, 138.536645 -34.876212))"
4,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.5,,,,1000,0.2,Low,"MULTILINESTRING ((138.597471 -34.966207, 138.597287 -34.966013, 138.593396 -34.961899, 138.590408 -34.958749, 138.590382 -34.958722, 138.590329 -34.958662))"
5,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.6,,,,1000,0.5,Low,"MULTILINESTRING ((138.590329 -34.958662, 138.590382 -34.958722, 138.590408 -34.958749, 138.593396 -34.961899, 138.597287 -34.966013, 138.597471 -34.966207))"
6,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.7,,,,1000,0.5,Low,"MULTILINESTRING ((138.586454 -34.954433, 138.5873 -34.955432, 138.587661 -34.955836, 138.588032 -34.95624, 138.588393 -34.956626, 138.589864 -34.958176, 138.590129 -34.958455, 138.590329 -34.958662))"
7,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.8,,,,1000,0.2,Low,"MULTILINESTRING ((138.590329 -34.958662, 138.590129 -34.958455, 138.589864 -34.958176, 138.588393 -34.956626, 138.588032 -34.95624, 138.587661 -34.955836, 138.5873 -34.955432, 138.586454 -34.954433))"
8,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.9,,,,1000,0.4,Low,"MULTILINESTRING ((138.562008 -34.990093, 138.561802 -34.990414, 138.56172 -34.990583, 138.561611 -34.990942, 138.561556 -34.991302, 138.561562 -34.991491, 138.561578 -34.991672, 138.561646 -34.991979, 138.561971 -34.993287))"
9,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.10,,,,1000,0.3,Low,"MULTILINESTRING ((138.561971 -34.993287, 138.561646 -34.991979, 138.561578 -34.991672, 138.561562 -34.991491, 138.561556 -34.991302, 138.561611 -34.990942, 138.56172 -34.990583, 138.561802 -34.990414, 138.562008 -34.990093))"
