NM_REGION,Region,Lat,Long
BBN,Blackburn,-37.8197,145.1531
BEN,Bendigo,-36.757,144.2794
BRI,Brighton,-37.9043,144.9932
CA1,Carlton,-37.8001,144.9671
CA2,Carlton 2,-37.8001,144.9671
CRN,Croydon,-37.7944,145.2815
DIO,Dialin/Dialout,,
DON,Doncaster,-37.7874,145.1249
DUP,,,
ESS,Essendon,-37.7505,144.9143
ES2,Essendon 2,-37.7505,144.9143
FR2,Frankston 2,-38.1466,145.1357
FRA,Frankston,-38.1466,145.1357
FT1,Footscray,-37.7989,144.8924
FT2,Footscray 2,-37.7989,144.8924
FT3,Footscray 3,-37.7989,144.8924
GE2,Geelong2,-38.1499,144.3617
GEE,Geelong,-38.1499,144.3617
GLI,Glen Iris,-37.86,145.0593
GR2,Greensborough 2,-37.7044,145.1006
GRE,Greensborough,-37.7044,145.1006
KEW,Kew,-37.8074,145.0289
MC1,Melbourne City 1,-37.8136,144.9631
MC2,Melbourne City 2,-37.8136,144.9631
MC3,Melbourne City 3,-37.8136,144.9631
MEN,Mentone,-37.9812,145.0648
MNP,Moonee Ponds,-37.7665,144.9196
PR2,Preston 2,-37.7431,145.0081
PRS,Preston,-37.7431,145.0081
SK1,St Kilda 1,-37.864,144.982
SK2,St Kilda 2,-37.864,144.982
SP2,Springvale 2,-37.9493,145.1528
SPR,Springvale,-37.9493,145.1528
VI2,Victoria 2,,
VIC,Victoria,,
WV1,Waverly 1,-37.8744,145.1668
WV2,Waverly 2,-37.8744,145.1668
