,NM_REGION,Date,QT_VOLUME_24HOUR,AM_PEAK_VOLUME,PM_PEAK_VOLUME,Location,MaxTemp,Rainfall,WindGustSpeed,Humidity9am,Humidity3pm,Region,Lat,Long
0,BBN,01/07/2016,5340051,184.6216216216216,329.33871533871536,Melbourne,14.1,6.4,28.0,89.0,61.0,Blackburn,-37.8197,145.1531
1,BBN,02/07/2016,4552161,76.57634257634258,265.74236574236573,Melbourne,16.5,0.2,28.0,77.0,58.0,Blackburn,-37.8197,145.1531
2,BBN,03/07/2016,3952714,45.80940680940681,249.15584415584416,Melbourne,16.7,0.0,41.0,76.0,57.0,Blackburn,-37.8197,145.1531
3,BBN,04/07/2016,5138450,205.16918216918216,322.16356616356614,Melbourne,12.7,0.0,31.0,69.0,64.0,Blackburn,-37.8197,145.1531
4,BBN,05/07/2016,5148262,195.1993681993682,316.6121446121446,Melbourne,12.8,0.6,28.0,87.0,91.0,Blackburn,-37.8197,145.1531
5,BBN,06/07/2016,5351973,205.63004563004563,326.0933660933661,Melbourne,13.0,22.6,37.0,87.0,84.0,Blackburn,-37.8197,145.1531
6,BBN,07/07/2016,5471302,204.68129168129167,332.46472446472444,Melbourne,13.7,3.8,31.0,97.0,80.0,Blackburn,-37.8197,145.1531
7,BBN,08/07/2016,5492210,195.88943488943488,329.1277641277641,Melbourne,15.3,0.8,20.0,90.0,65.0,Blackburn,-37.8197,145.1531
8,BBN,09/07/2016,4707758,74.998595998596,276.8034398034398,Melbourne,15.2,0.2,13.0,100.0,60.0,Blackburn,-37.8197,145.1531
9,BBN,10/07/2016,3987547,44.799578799578796,244.87434187434187,Melbourne,14.2,0.0,59.0,97.0,80.0,Blackburn,-37.8197,145.1531
10,BBN,11/07/2016,5091506,197.2007722007722,323.0902070902071,Melbourne,16.0,3.6,59.0,67.0,57.0,Blackburn,-37.8197,145.1531
11,BBN,12/07/2016,5241151,213.93541593541593,324.8936468936469,Melbourne,13.7,0.0,63.0,58.0,51.0,Blackburn,-37.8197,145.1531
12,BBN,13/07/2016,5371500,209.54756054756055,331.2934362934363,Melbourne,12.0,0.4,43.0,67.0,55.0,Blackburn,-37.8197,145.1531
