Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
01/07/2016,Albury,5.2,11.4,11.4,NA,NA,NW,26,WSW,W,9,7,96,76,1019,1021.4,8,8,7.3,11.1,Yes,No
02/07/2016,Albury,7.2,12.5,0.4,NA,NA,WSW,17,NA,W,0,11,88,86,1027.7,1026.4,8,8,9.3,11.6,No,No
03/07/2016,Albury,7.9,12.7,0.2,NA,NA,W,20,ENE,W,6,13,100,82,1027.5,1024.7,8,7,9.7,12.6,No,No
04/07/2016,Albury,8.2,11.7,0.2,NA,NA,E,19,NA,ENE,0,13,97,70,1021.1,1016,8,8,9,11.6,No,No
05/07/2016,Albury,6.7,10.6,1,NA,NA,WNW,19,NA,SSE,0,7,92,99,1011.2,1008.6,8,8,7.8,8.9,No,Yes
06/07/2016,Albury,7.2,15.4,7.6,NA,NA,WSW,43,W,WSW,19,20,80,60,1010.3,1010.4,NA,2,10.6,15,Yes,No
07/07/2016,Albury,4,16.5,0,NA,NA,SE,30,NA,ESE,0,11,100,58,1020.7,1019.1,NA,5,8.3,16.2,No,No
08/07/2016,Albury,6.5,11.8,0.2,NA,NA,S,17,S,E,2,2,96,94,1022.7,1020.8,8,8,9.2,11.5,No,Yes
09/07/2016,Albury,7,15.8,2,NA,NA,NE,13,NA,NNE,0,9,100,76,1025.5,1023.1,8,8,9,13.9,Yes,No
10/07/2016,Albury,6.2,14,0,NA,NA,NE,28,NA,NNE,0,15,100,74,1023.8,1018.9,3,6,9.1,13.4,No,Yes
11/07/2016,Albury,9.1,16.2,16.6,NA,NA,N,44,N,N,22,19,82,52,1009.3,1007.9,8,1,12.8,15.7,Yes,No
12/07/2016,Albury,8.6,12.9,0.4,NA,NA,NW,69,N,NW,19,37,79,61,1007.3,1004.2,8,NA,9.3,12,No,Yes
13/07/2016,Albury,3.6,9.5,9.6,NA,NA,WNW,54,WNW,WNW,24,19,87,66,1019.3,1023.1,8,8,4.3,8.9,Yes,No
14/07/2016,Albury,-0.3,10.8,0.2,NA,NA,W,26,NA,WNW,0,13,99,72,1032.6,1030.1,8,6,4.4,9.6,No,No
15/07/2016,Albury,4.4,12.8,0,NA,NA,W,20,NE,ESE,4,6,90,66,1032.9,1030.6,6,7,8.4,12.2,No,No
16/07/2016,Albury,-0.4,14,0.2,NA,NA,E,17,NA,SSE,0,7,100,65,1033.9,1030.2,NA,NA,4.5,13.1,No,No
17/07/2016,Albury,0.4,16.5,0,NA,NA,ENE,17,N,SE,6,6,94,64,1031.6,1027.5,NA,NA,6.1,15.1,No,No
18/07/2016,Albury,2.1,13.4,0,NA,NA,E,13,NA,SE,0,2,100,96,1026.2,1022.6,NA,8,7.3,11.8,No,Yes
19/07/2016,Albury,7.3,15.2,5,NA,NA,NNW,17,S,NE,7,7,100,88,1023.3,1021.8,8,8,10.9,14,Yes,No
20/07/2016,Albury,8.5,17.3,0,NA,NA,ESE,13,NNE,E,6,7,100,70,1020.9,1019.5,7,1,10.7,16.7,No,No
21/07/2016,Albury,6.2,16.8,0.4,NA,NA,W,15,W,NNE,11,7,100,96,1020.1,1015.6,8,8,10,13.8,No,Yes
22/07/2016,Albury,9.9,18.2,6.8,NA,NA,NNW,56,NNW,W,31,22,92,99,1003.6,999.5,8,8,16.8,12.7,Yes,Yes
23/07/2016,Albury,7.1,10.8,24.2,NA,NA,WNW,63,W,SW,24,28,82,67,1005.2,1009.8,8,8,8.5,8.4,Yes,No
24/07/2016,Albury,-0.2,10.1,0.6,NA,NA,WNW,28,NE,N,9,13,86,77,1015.5,1010.7,NA,8,4.7,8.7,No,Yes
25/07/2016,Albury,4.7,11.5,12,NA,NA,NNW,56,WNW,WNW,15,19,89,87,1013.5,1012.2,8,8,7.7,10.4,Yes,Yes
26/07/2016,Albury,4.5,11.3,4,NA,NA,WNW,39,NW,NNW,15,20,85,72,1017.4,1014.4,6,8,6.9,9.7,Yes,Yes
27/07/2016,Albury,6.9,12.6,10.6,NA,NA,NW,39,WNW,WNW,17,24,90,82,1013.7,1017.3,5,6,9.5,11.5,Yes,No
28/07/2016,Albury,5.9,10.8,0,NA,NA,W,22,WNW,WNW,9,11,85,79,1027.6,1026.1,7,8,8.1,10.5,No,No
29/07/2016,Albury,7.7,12.2,0.8,NA,NA,W,28,NW,NW,11,15,94,73,1025.8,1022.9,8,8,9.1,11,No,No
30/07/2016,Albury,8.3,12.1,0.2,NA,NA,NNW,20,ESE,NNW,9,9,96,74,1024.4,1021.5,8,8,9.7,11.9,No,Yes
31/07/2016,Albury,8,14.3,2.2,NA,NA,N,22,E,NE,7,9,93,76,1019.4,1017.4,8,8,9.7,13.7,Yes,Yes
01/07/2016,BadgerysCreek,2.9,16.1,0,NA,NA,SW,52,NA,WSW,0,19,59,42,1015.8,1016.6,NA,NA,11.3,15.8,No,No
02/07/2016,BadgerysCreek,1.9,17.3,0,NA,NA,SW,26,NA,SW,0,13,85,46,1025.7,1023.4,NA,NA,9.2,16.6,No,No
03/07/2016,BadgerysCreek,-0.1,17.6,0,NA,NA,NNE,13,NA,NNE,0,6,100,42,1026.7,1022.3,NA,NA,6.6,16.9,No,No
04/07/2016,BadgerysCreek,-1.9,14.3,0,NA,NA,N,11,WSW,NE,2,4,100,53,1020.8,1016,NA,NA,5.1,13.7,No,Yes
05/07/2016,BadgerysCreek,3.6,16.1,4.2,NA,NA,NW,30,NNW,WSW,2,4,100,83,1011.7,1006.1,NA,NA,7.8,14.9,Yes,No
06/07/2016,BadgerysCreek,6.9,17.3,0.2,NA,NA,W,57,N,WSW,7,24,56,56,1004.1,1003.7,NA,NA,13.6,15.2,No,No
07/07/2016,BadgerysCreek,12.4,18.1,0.4,NA,NA,SW,46,SW,SSW,17,17,94,75,1016.2,1017,NA,NA,13.8,15.9,No,Yes
08/07/2016,BadgerysCreek,11.2,16.5,1.4,NA,NA,S,20,SW,NE,9,2,97,96,1020.4,1018.7,NA,NA,12.5,14,Yes,Yes
